,dist_code,month,documents_registered_cnt,documents_registered_rev,estamps_challans_cnt,estamps_challans_rev,district,Mmm,quarter,fiscal_year
226,20_3,11/1/2019,1968,19924292,0,0,Rajanna Sircilla,Nov,Q3,2019
227,21_5,11/1/2019,1197,16466357,0,0,Mahabubabad,Nov,Q3,2019
228,23_1,11/1/2019,5631,83622562,0,0,Nalgonda,Nov,Q3,2019
229,23_3,11/1/2019,7154,101753131,0,0,Yadadri Bhuvanagiri,Nov,Q3,2019
230,20_1,11/1/2019,3319,65404640,0,0,Karimnagar,Nov,Q3,2019
231,20_4,11/1/2019,1733,24768431,0,0,Peddapalli,Nov,Q3,2019
232,16_1,11/1/2019,5071,768221659,0,0,Hyderabad,Nov,Q3,2019
233,14_3,11/1/2019,2774,22911353,0,0,Nagarkurnool,Nov,Q3,2019
234,15_2,11/1/2019,13243,1086466648,0,0,Medchal_Malkajgiri,Nov,Q3,2019
235,21_6,11/1/2019,862,7577874,0,0,Mulugu,Nov,Q3,2019
236,22_2,11/1/2019,510,11605895,0,0,Bhadradri Kothagudem,Nov,Q3,2019
237,20_2,11/1/2019,2020,27837785,0,0,Jagtial,Nov,Q3,2019
238,14_2,11/1/2019,1854,13905589,0,0,Jogulamba Gadwal,Nov,Q3,2019
239,21_2,11/1/2019,974,15390223,0,0,Warangal,Nov,Q3,2019
240,22_1,11/1/2019,4154,84400983,0,0,Khammam,Nov,Q3,2019
241,17_2,11/1/2019,7917,326206436,0,0,Sangareddy,Nov,Q3,2019
242,23_2,11/1/2019,2756,47478958,0,0,Suryapet,Nov,Q3,2019
243,19_4,11/1/2019,318,3510685,0,0,Kumurambheem Asifabad,Nov,Q3,2019
244,19_3,11/1/2019,1563,22840845,0,0,Mancherial,Nov,Q3,2019
245,18_2,11/1/2019,2703,25998774,0,0,Kamareddy,Nov,Q3,2019
246,19_1,11/1/2019,900,14256963,0,0,Adilabad,Nov,Q3,2019
247,14_5,11/1/2019,1495,12984080,0,0,Narayanpet,Nov,Q3,2019
248,14_4,11/1/2019,2321,18429221,0,0,Wanaparthy,Nov,Q3,2019
249,18_1,11/1/2019,4536,62130368,0,0,Nizamabad,Nov,Q3,2019
250,19_2,11/1/2019,1342,14521330,0,0,Nirmal,Nov,Q3,2019
251,21_1,11/1/2019,4876,137448091,0,0,Hanumakonda,Nov,Q3,2019
252,15_1,11/1/2019,24308,1900190527,0,0,Rangareddy,Nov,Q3,2019
253,17_1,11/1/2019,1755,29444560,0,0,Medak,Nov,Q3,2019
254,21_3,11/1/2019,2192,63537802,0,0,Jangoan,Nov,Q3,2019
255,15_3,11/1/2019,1991,23161905,0,0,Vikarabad,Nov,Q3,2019
256,14_1,12/1/2019,4090,88675750,0,0,Mahabubnagar,Dec,Q3,2019
257,17_3,12/1/2019,5954,52786211,0,0,Siddipet,Dec,Q3,2019
258,20_3,12/1/2019,2261,21228175,0,0,Rajanna Sircilla,Dec,Q3,2019
259,21_5,12/1/2019,1595,23309028,0,0,Mahabubabad,Dec,Q3,2019
260,23_1,12/1/2019,6615,89382067,0,0,Nalgonda,Dec,Q3,2019
261,23_3,12/1/2019,8624,119971816,0,0,Yadadri Bhuvanagiri,Dec,Q3,2019
262,20_1,12/1/2019,4161,82730665,0,0,Karimnagar,Dec,Q3,2019
263,20_4,12/1/2019,1941,29201390,0,0,Peddapalli,Dec,Q3,2019
264,16_1,12/1/2019,6061,752855272,0,0,Hyderabad,Dec,Q3,2019
265,14_3,12/1/2019,3023,25540937,0,0,Nagarkurnool,Dec,Q3,2019
266,15_2,12/1/2019,14416,1156263714,0,0,Medchal_Malkajgiri,Dec,Q3,2019
267,21_6,12/1/2019,747,6376463,0,0,Mulugu,Dec,Q3,2019
268,22_2,12/1/2019,557,12473935,0,0,Bhadradri Kothagudem,Dec,Q3,2019
269,20_2,12/1/2019,2681,33031207,0,0,Jagtial,Dec,Q3,2019
270,14_2,12/1/2019,2027,13401500,0,0,Jogulamba Gadwal,Dec,Q3,2019
271,21_2,12/1/2019,1252,20965877,0,0,Warangal,Dec,Q3,2019
272,22_1,12/1/2019,5220,103834902,0,0,Khammam,Dec,Q3,2019
273,17_2,12/1/2019,8615,384598579,0,0,Sangareddy,Dec,Q3,2019
274,23_2,12/1/2019,3533,54070047,0,0,Suryapet,Dec,Q3,2019
275,19_4,12/1/2019,390,5178860,0,0,Kumurambheem Asifabad,Dec,Q3,2019
276,19_3,12/1/2019,1812,32307331,0,0,Mancherial,Dec,Q3,2019
277,18_2,12/1/2019,3231,24296657,0,0,Kamareddy,Dec,Q3,2019
278,19_1,12/1/2019,1173,17703534,0,0,Adilabad,Dec,Q3,2019
279,14_5,12/1/2019,1826,13948618,0,0,Narayanpet,Dec,Q3,2019
280,14_4,12/1/2019,2495,20932006,0,0,Wanaparthy,Dec,Q3,2019
